name,country,status,match_title,score,image
Hapkin,Bélgica,found,File:Hapkin bottle front NL- Background.png,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Hapkin_bottle_front_NL-_Background.png/500px-Hapkin_bottle_front_NL-_Background.png
Heineken,Países Bajos,found,existing,,https://commons.wikimedia.org/wiki/Special:FilePath/Heineken%20logo.svg
Hen´s Tooth Ale,Reino Unido,fallback,,,
Hercule,Bélgica,found,File:Hercule Stout.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Hercule_Stout.jpg/500px-Hercule_Stout.jpg
Herold Bohemian Blonde Lager,República Checa,fallback,,,
Herold Bohemian Granát Lager,República Checa,fallback,,,
Het Kapittel ABT,Bélgica,fallback,,,
Het Kapittel Pater,Bélgica,fallback,,,
Hoegaarden,Bélgica,found,File:Hoegaarden wheat beer.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Hoegaarden_wheat_beer.jpg/500px-Hoegaarden_wheat_beer.jpg
Hoegaarden Grand Cru,Bélgica,found,File:Hoegaarden Grand Cru bottle.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Hoegaarden_Grand_Cru_bottle.jpg/500px-Hoegaarden_Grand_Cru_bottle.jpg
Hoepfner,Alemania,found,File:Brewery Hoepfner.-.Brew kettle.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Brewery_Hoepfner.-.Brew_kettle.jpg/500px-Brewery_Hoepfner.-.Brew_kettle.jpg
Hofmark Weisse Dunkel,Alemania,fallback,,,
Hofmark Weisse Hell,Alemania,fallback,,,
Hofmark Weisse Lager,Alemania,fallback,,,
Hommelbier,Bélgica,found,File:Hommelbier.JPG,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Hommelbier.JPG/500px-Hommelbier.JPG
Hop Back Entire Stout,Reino Unido,fallback,,,
Hop Back Summer Lightning,Reino Unido,fallback,,,
Hop Back Taiphoon,Reino Unido,fallback,,,
Inedit,España,found,File:Estrella Damm Inedit.jpg,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Estrella_Damm_Inedit.jpg/500px-Estrella_Damm_Inedit.jpg
Innis & Guun Blonde,Reino Unido,fallback,,,
Innis & Guun Original,Reino Unido,fallback,,,
Innis & Guun Rum Finish,Reino Unido,fallback,,,
